CVE_ENT,CVE_MUN,CVE_LOC,AGEB,MANZANA
09,015,0001,1498,026
09,015,0001,0875,004
09,004,0001,002A,030
09,015,0001,1464,009
09,015,0001,0945,016
09,002,0001,0684,014
09,015,0001,0752,006
09,017,0001,0691,011
09,005,0001,1735,012
09,015,0001,0485,003
09,014,0001,0219,005
09,015,0001,113A,022
09,016,0001,1160,008
09,015,0001,0875,006
09,014,0001,0011,014
09,015,0001,049A,015
09,014,0001,0079,017
09,002,0001,0788,008
09,015,0001,1110,026
09,014,0001,0740,002
09,015,0001,0574,020
09,002,0001,0311,030
09,015,0001,0080,026
09,014,0001,0651,020
09,015,0001,0748,007
09,014,0001,0384,019
09,015,0001,1036,005
09,015,0001,0983,005
09,015,0001,0818,009
09,016,0001,050A,014
09,014,0001,0613,010
09,003,0001,0018,014
09,003,0001,0107,014
09,017,0001,048A,003
09,003,0001,1020,014
09,015,0001,0678,019
09,015,0001,1356,018
09,015,0001,0930,005
09,012,0001,0534,013
09,014,0001,0134,013
09,009,0001,0327,012
09,005,0001,1256,009
09,017,0001,0367,013
09,014,0001,0717,023
09,014,0001,0806,014
09,003,0001,143A,016
09,007,0001,0939,004
09,015,0001,0540,015
09,016,0001,1175,016
09,014,0001,0651,014
09,015,0001,0998,016
09,002,0001,0256,001
09,002,0001,0218,003
09,004,0001,0138,019
09,002,0001,1165,007
09,005,0001,128A,020
09,006,0001,0132,014
09,011,0001,1427,014
09,005,0001,1275,009
09,013,0001,0334,003
09,011,0001,0132,031
09,012,0001,0708,028
09,011,0001,1427,014
09,009,0029,0454,006
09,013,0001,0211,023
09,012,0001,0657,023
09,014,0001,0204,021
09,015,0001,0841,003
09,015,0001,1233,009
09,014,0001,0223,017
09,015,0001,0998,020
09,015,0001,0926,002
09,015,0001,1089,006
09,014,0001,0416,012
09,014,0001,0401,014
09,016,0001,029A,002
09,015,0001,0644,018
09,015,0001,0644,019
09,015,0001,0574,020
09,015,0001,0358,008
09,015,0001,0358,007
09,015,0001,0358,008
09,017,0001,1238,004
09,015,0001,0536,011
09,017,0001,0583,013
