ID,TIPO,INST,CALLE,NUMERO,REF,COLONIA,CP,OBS,ALCALDIA,OID
457,CENTRO Y PLAZA COMERCIAL,PLAZA EL CASTILLO,DIVISION DEL NORTE,4199,Desconocido,JARDINES VILLA COAPA,14300,Desconocido,Tlalpan,457
458,CENTRO Y PLAZA COMERCIAL,ANDADOR COMERCIAL,SILOS,31,Desconocido,NARCISO MENDOZA,14390,Desconocido,Tlalpan,458
459,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL,PROLONGACION DIVISION DEL NORTE,4506,Desconocido,PRADO COAPA TERCERA SECCION,14350,Desconocido,Tlalpan,459
460,CENTRO Y PLAZA COMERCIAL,PLAZA,COLEGIO DE SAN ILDELFONSO,1,Desconocido,SAN JUANDE DIOS,14387,Desconocido,Tlalpan,460
461,CENTRO Y PLAZA COMERCIAL,PLAZA,SAN PABLO,Desconocido,Desconocido,EX HACIENDA SAN JUAN DE DIOS,14387,Desconocido,Tlalpan,461
462,CENTRO Y PLAZA COMERCIAL,PLAZA SAN JUAN,ARENAL,575,Desconocido,COLINAS DEL BOSQUE,14608,Desconocido,Tlalpan,462
463,CENTRO Y PLAZA COMERCIAL,PLAZA DE LA CONSTITUCION,MONEDA,17,Desconocido,TLALPAN CENTRO,14000,Desconocido,Tlalpan,463
464,CENTRO Y PLAZA COMERCIAL,URBIPLAZA,CALZADA DE TLALPAN,5055,Desconocido,TLALPAN CENTRO,14000,Desconocido,Tlalpan,464
465,CENTRO Y PLAZA COMERCIAL,PLAZA CASTILLO,INSURGENTES SUR,4342,Desconocido,TLALPAN CENTRO,14000,Desconocido,Tlalpan,465
466,TIENDAS DE AUTOSERVICIO,SUPERAMA INSURGENTES LA JOYA,AV. INSURGENTES SUR,4120,Desconocido,LA JOYA,14000,Desconocido,Tlalpan,466
467,CENTRO Y PLAZA COMERCIAL,PLAZA,INSURGENTES SUR,4134,Desconocido,LA JOYA,14000,Desconocido,Tlalpan,467
468,CENTRO Y PLAZA COMERCIAL,PLAZA ANITA,INSURGENTES SUR,4074,Desconocido,TLALPAN CENTRO,14000,Desconocido,Tlalpan,468
469,CENTRO Y PLAZA COMERCIAL,COMERCIAL MEXICANA,La Fama,1,Desconocido,LA FAMA,14269,Desconocido,Tlalpan,469
470,CENTRO Y PLAZA COMERCIAL,PLAZA CUICUILCO,SAN FERNANDO,649,Desconocido,PEÑA POBRE,14060,Desconocido,Tlalpan,470
471,CENTRO Y PLAZA COMERCIAL,PLAZA IMAGEN,BOULEVARD ADOLFO RUIZ CORTINES,4349,Desconocido,JARDINES EN LA MONTAUA,14210,Desconocido,Tlalpan,471
472,CENTRO Y PLAZA COMERCIAL,JARDINES DE LA MONTACA,Boulevard Picacho Ajusco,72,Desconocido,JARDINES DE LA MONTANA,14210,Desconocido,Tlalpan,472
473,CENTRO Y PLAZA COMERCIAL,PLAZA CHEDRAUI,BOULEVARD PICACHO AJUSCO,175,Desconocido,FUENTES DEL PEDREGAL,14140,Desconocido,Tlalpan,473
474,CENTRO Y PLAZA COMERCIAL,PLAZA LUNA,TIZIMIN,327,Desconocido,LOMAS DE PADIERNA,14240,Desconocido,Tlalpan,474
475,TIENDAS DE AUTOSERVICIO,WALMART EXPRESS FUENTES DEL PEDREGAL,RCDA. DE URANIO,41,Desconocido,LOS FRAMBOYANES,14150,Desconocido,Tlalpan,475
476,TIENDAS DE AUTOSERVICIO,OFFICE DEPOT,RCDA. DE URANIO,77,Desconocido,LOMAS DEL PEDREGAL,14150,Desconocido,Tlalpan,476
477,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL PEDREGAL DEL LAGO,FUENTE DE LOS MOLINOS,13,Desconocido,FUENTES DEL PEDREGAL,14110,Desconocido,Tlalpan,477
478,CENTRO Y PLAZA COMERCIAL,PLAZA CUEMANCO COAPA,CALZ. DEL HUESO,1025,Desconocido,COAPA,14336,Desconocido,Tlalpan,478
479,CENTRO Y PLAZA COMERCIAL,PLAZA ACOXPA,CALZ- ACOXPA,554-6,Desconocido,PRADOS COAPA 2DA SECC,14357,Desconocido,Tlalpan,479
480,CENTRO Y PLAZA COMERCIAL,PLAZA,CALZ- ACOXPA,559,Desconocido,PRADOS COAPA 3RA SECCION,14357,Desconocido,Tlalpan,480
481,CENTRO Y PLAZA COMERCIAL,SORIANA SUPER TORIELLO,CALZ. DE TLALPAN,4515,Desconocido,TORIELLO GUERRA,14050,Desconocido,Tlalpan,481
482,CENTRO Y PLAZA COMERCIAL,PLAZA VICTORIA,AV RENATO LEDUC,224,Desconocido,TORIELLO GUERRA,14050,Desconocido,Tlalpan,482
483,CENTRO Y PLAZA COMERCIAL,PLAZA RENATO,AV. REBATI KEDUC,174,Desconocido,TORIELLO GUERRA,14050,Desconocido,Tlalpan,483
484,CENTRO Y PLAZA COMERCIAL,PUERTA SUR,AV. RENATO LEDUC,151,Desconocido,TORIELLO GUERRA,14050,Desconocido,Tlalpan,484
485,CENTRO Y PLAZA COMERCIAL,PLAZA LOS ARCOS,CALZ. DE TLALPAN,4870,Desconocido,NIÑO JESUS,14080,Desconocido,Tlalpan,485
486,CENTRO Y PLAZA COMERCIAL,PLAZA CANTERA,CHIMALCOYOC,Desconocido,Desconocido,Desconocido,14630,Desconocido,Tlalpan,486
487,CENTRO Y PLAZA COMERCIAL,PLAZA COMERCIAL ZANTA URSULA XITLA,PANTEION,6,Desconocido,STA URSULA XITLA,14420,Desconocido,Tlalpan,487
488,TIENDAS DE AUTOSERVICIO,BODEGA AURRERA EXPRESS,BENITO JUAREZ,201,Desconocido,MATAMOROS,14250,Desconocido,Tlalpan,488
489,CENTRO Y PLAZA COMERCIAL,PLAZA,CARR PICACHO-AJUSCO,756,Desconocido,JARDINES DEL AJUSCO,14200,Desconocido,Tlalpan,489
490,CENTRO Y PLAZA COMERCIAL,PLAZA,BOULEVARD PICACHO AJUSCO,528,Desconocido,JARDINES DEL AJUSCO,14210,Desconocido,Tlalpan,490
491,TIENDAS DE AUTOSERVICIO,WALMART EXPRESS FUENTES DEL PEDREGAL,RCDA. DE URANIO,41,Desconocido,LOS FRAMBOYANES,14150,Desconocido,Tlalpan,491
492,TIENDAS DE AUTOSERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Miguel Angel de Quevedo,175,Esq. Av. Universidad,Barrio Oxtopulco Universidad,4318,Desconocido,Coyoacán,492
493,TIENDAS DE AUTOSERVICIO,"ALMACENES AURRERA, S.A. DE C.V.",Av. Centro Comercial,190,Esq. Popocatepetl,Insurgentes Cuicuilco,4530,Desconocido,Coyoacán,493
494,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Jardín Centenario,5,Entre Carrillo Puerto y Tres Cruces,Villa Coyoacán,4000,Desconocido,Coyoacán,494
495,TIENDAS DE AUTOSERVICIO,"GIGANTE, S.A. DE C.V.",Calz. de Tlalpan,2050,Esq. Miramontes,Campestre Churubusco,4200,Desconocido,Coyoacán,495
496,TIENDAS DE AUTOSERVICIO,HOME  MART,Av. Canal de Miramontes,2053,Esq. Las Bombas,Los Girasoles,4290,Desconocido,Coyoacán,496
