ID,TIPO,INST,CALLE,NUMERO,REF,COLONIA,CP,OBS,ALCALDIA,OID
706,MIXTO,Reforma 222,Reforma,222,Desconocido,Juárez,6600,Desconocido,Cuauhtémoc,706
707,MIXTO,Reforma 222,Reforma,222,Desconocido,Juárez,6600,Desconocido,Cuauhtémoc,707
708,MIXTO,Reforma 222,Reforma,222,Desconocido,Juárez,6600,Desconocido,Cuauhtémoc,708
709,MIXTO,Reforma 222,Havre,28,Desconocido,Juárez,6600,Desconocido,Cuauhtémoc,709
710,MIXTO,Reforma 222,Havre,30,Desconocido,Juárez,6600,Desconocido,Cuauhtémoc,710
711,CENTRO Y PLAZA COMERCIAL,Plaza La Rosa,Londres,119,Desconocido,Juárez,6600,Desconocido,Cuauhtémoc,711
712,CENTRO Y PLAZA COMERCIAL,Mercado La Roma,Queretaro,225,Desconocido,Roma Norte,6700,Desconocido,Cuauhtémoc,712
713,TIENDAS DE AUTOSERVICIO,Superama,Michoacan,38,Desconocido,Hipodromo,6100,Desconocido,Cuauhtémoc,713
714,TIENDAS DE AUTOSERVICIO,Sumesa Bajío,Bajío,266,Desconocido,Roma Sur,6760,Desconocido,Cuauhtémoc,714
715,CENTRO Y PLAZA COMERCIAL,Pabellón Cuauhtémoc,Antonio M. Anza,20,Desconocido,Roma Sur,6740,Desconocido,Cuauhtémoc,715
716,CENTRO Y PLAZA COMERCIAL,Mercado de Medellín,Campeche,s/n,Desconocido,Roma Sur,6760,Desconocido,Cuauhtémoc,716
717,CENTRO Y PLAZA COMERCIAL,Mercado Hidalgo,Dr. Andrade,26,Desconocido,Doctores,6720,Desconocido,Cuauhtémoc,717
718,CENTRO Y PLAZA COMERCIAL,Portal Centro,Clavijero,75,Desconocido,Transito,6820,Desconocido,Cuauhtémoc,718
719,CENTRO Y PLAZA COMERCIAL,Puerta Tlatelolco,Manuel Gonzalez,10,Desconocido,San Simón Tolnahuac,6920,Hay una TIENDA DE AUTOSERVICIO Walmart,Cuauhtémoc,719
720,CENTRO Y PLAZA COMERCIAL,Mercado Francisco Sarabia,Rossini,73,Desconocido,Ex Hipodromo de Peralvillo,6250,Desconocido,Cuauhtémoc,720
721,TIENDAS DEPARTAMENTALES,Coppel,Canal del Norte,2,Desconocido,Felipe Pescador,6270,Desconocido,Cuauhtémoc,721
722,CENTRO Y PLAZA COMERCIAL,Mercado 17 - Beethoven,Wolfgang Amadeus Mozart,s/n,Desconocido,Peralvillo,6220,Desconocido,Cuauhtémoc,722
723,CENTRO Y PLAZA COMERCIAL,Urban Center Condesa,Durango,205,Desconocido,Roma Norte,6700,Desconocido,Cuauhtémoc,723
724,CENTRO Y PLAZA COMERCIAL,Puerta Condesa,Av. Insurgentes Sur,453,Desconocido,Hipodromo,6100,Desconocido,Cuauhtémoc,724
725,CENTRO Y PLAZA COMERCIAL,Plaza Cuauhtemoc,Av. Cuauhtemoc,19,Desconocido,Roma Norte,6700,Desconocido,Cuauhtémoc,725
726,CENTRO Y PLAZA COMERCIAL,Plaza Niza 66,Niza,66,Desconocido,Juárez,6600,Desconocido,Cuauhtémoc,726
727,CENTRO Y PLAZA COMERCIAL,Plaza del Ángel,Hamburgo,150,Desconocido,Juárez,6600,Desconocido,Cuauhtémoc,727
728,TIENDAS DEPARTAMENTALES,Coppel,Fray Servando Teresa de Mier,351,Desconocido,Esperanza,6840,Desconocido,Cuauhtémoc,728
729,TIENDAS DE AUTOSERVICIO,Bodega Aurrera,5 de Febrero,317,Desconocido,Obrera,6800,Desconocido,Cuauhtémoc,729
730,PLAZAS COMERCIALES,Desconocido,Tacuba,46 Admon.,Esq. Allende,Centro,6010,Desconocido,Cuauhtémoc,730
731,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Av. 16 de Septiembre,81,Esq. Isabel La Catolica,Centro,6000,Desconocido,Cuauhtémoc,731
732,TIENDAS DEPARTAMENTALES,"SUBURBIA, S.A. DE C.V.",Av. 20 de Noviembre,62,Esq. Pino Suarez,Centro,6090,Desconocido,Cuauhtémoc,732
733,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Isabel La Católica,36,Esq. 16 de Septiembre,Centro,6000,Desconocido,Cuauhtémoc,733
734,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",5 de Mayo,5,Esq. Condesa,Centro,6000,Desconocido,Cuauhtémoc,734
735,TIENDAS DE AUTOSERVICIO,"WOOLWORTH MEXICANA, S.A. DE C.V.",Palma,34,Donceles,Centro,6010,Desconocido,Cuauhtémoc,735
736,TIENDAS DEPARTAMENTALES,VIANA,Av. Hidalgo,S/N,Esq. Paseo de la Reforma,Tabacalera Revolucion,6300,Desconocido,Cuauhtémoc,736
737,TIENDAS DE AUTOSERVICIO,"BODEGA COMERCIAL MEXICANA, S.A. DE C.V.",Venustiano Carranza,125,Entre Tabacaleros y Correo Mayor,Centro,6060,Desconocido,Cuauhtémoc,737
738,TIENDAS DEPARTAMENTALES,PUERTO DE LIVERPOOL,Venustiano Carranza,92,Esq. 20 de Noviembre,Centro,6060,Desconocido,Cuauhtémoc,738
739,TIENDAS DEPARTAMENTALES,"EL PALACIO DE HIERRO, S.A. DE C.V.",Av. 20 de Noviembre,3,Entre Venustiano Carranza y Rep. de Uruguay,Centro,6060,Desconocido,Cuauhtémoc,739
740,TIENDAS DEPARTAMENTALES,VIANA,Plaza de Sto. Tomás,17,Medicos Militares,Centro,6090,Desconocido,Cuauhtémoc,740
741,TIENDAS DE AUTOSERVICIO,"ALMACENES GARCIA DE MÉXICO,S.A",Venustiano Carranza,91,Esq. 5 de Febrero,Centro,6060,Desconocido,Cuauhtémoc,741
742,TIENDAS DE AUTOSERVICIO,ISSSTETIENDAS,Buen Tono,8,Esq. Arandas,Centro,6070,Desconocido,Cuauhtémoc,742
743,TIENDAS DE AUTOSERVICIO,ISSSTETIENDAS,Manuel Tolsa,9,Esq. Tres Guerras,Centro,6040,Desconocido,Cuauhtémoc,743
744,TIENDAS DEPARTAMENTALES,"SANBORNS HERMANOS, S.A DE C.V.",Insurgentes Sur,421,Esq. Aguascalientes,Hipódromo Condesa,6100,Desconocido,Cuauhtémoc,744
745,CENTRO COMERCIAL,CORTINA CRISTINA AZCARRAGA,Dr. Vertiz,113L.H,Entre Dr. Río de la Loza y Tesorería,Doctores,6720,Desconocido,Cuauhtémoc,745
746,TIENDAS DEPARTAMENTALES,VIANA,Eje Central Lázaro Cárdenas,10,Esq. Tizapan,Centro,6080,Desconocido,Cuauhtémoc,746
747,CENTRO COMERCIAL,Desconocido,Eje 1 Nte,259,Desconocido,Buenavista,6350,Desconocido,Cuauhtémoc,747
748,CENTRO Y PLAZA COMERCIAL,PLAZA ARMI,Manuel de la Peña y Peña,44,Desconocido,Centro,6010,Desconocido,Cuauhtémoc,748
749,CENTRO Y PLAZA COMERCIAL,Paladium,Lecumberri,46,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,749
750,CENTRO Y PLAZA COMERCIAL,Plaza la Camila,Lecumberri,32,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,750
751,CENTRO Y PLAZA COMERCIAL,Plaza Lecumberri,Lecumberri,30,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,751
752,CENTRO Y PLAZA COMERCIAL,Plaza Mixcalco,Manuel Doblado,46,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,752
753,CENTRO Y PLAZA COMERCIAL,Plaza Soledad,2o. Callejón de Corregidora,S/N,Circunvalación & corregidora,Centro,6060,Desconocido,Cuauhtémoc,753
755,CENTRO Y PLAZA COMERCIAL,El 29 de Lecumberri,Lecumberri,29,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,755
756,CENTRO Y PLAZA COMERCIAL,Plaza El Cuatro Vientos,Manuel Doblado,103,Desconocido,Centro,6010,Desconocido,Cuauhtémoc,756
758,CENTRO Y PLAZA COMERCIAL,Plaza Diamante,MANUEL DOBLADO,88,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,758
759,CENTRO Y PLAZA COMERCIAL,Plaza Alegría,Manuel Doblado,67,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,759
760,CENTRO Y PLAZA COMERCIAL,Desconocido,Gónzalez Ortega,3,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,760
761,CENTRO Y PLAZA COMERCIAL,Plaza Paris,Manuel Doblado,57,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,761
762,CENTRO Y PLAZA COMERCIAL,Plaza Banderas,Gral. Miguel Alemán,10,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,762
763,CENTRO Y PLAZA COMERCIAL,Plaza Diana,Lecumberri,20,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,763
764,CENTRO Y PLAZA COMERCIAL,Plaza del sol fashion center,Manuel Doblado,40,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,764
765,CENTRO Y PLAZA COMERCIAL,Plaza 88,Manuel de la Peña y Peña,Desconocido,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,765
766,CENTRO Y PLAZA COMERCIAL,Plaza Oggi,Gral. Miguel Alemán,4,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,766
767,CENTRO Y PLAZA COMERCIAL,Plaza Dalí,San Antonio Tomatlán,20,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,767
770,CENTRO Y PLAZA COMERCIAL,Centro de Importadores,Manuel de la Peña y Peña,17,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,770
771,CENTRO Y PLAZA COMERCIAL,Peña y Peña 13,PEÑA Y PEÑA,13,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,771
772,CENTRO Y PLAZA COMERCIAL,Plaza Loreto,San Antonio Tomatlan,9,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,772
774,CENTRO Y PLAZA COMERCIAL,Plaza Atarazanas,Talavera,S/N,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,774
775,CENTRO Y PLAZA COMERCIAL,Plaza Argentina,República de Argentina,55,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,775
776,CENTRO Y PLAZA COMERCIAL,Plaza Vanessa,C. del Carmen,81,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,776
777,CENTRO Y PLAZA COMERCIAL,Plaza Tepito,Fray Bartolomé de Las Casas,32B,Desconocido,Morelos,6200,Desconocido,Cuauhtémoc,777
778,CENTRO Y PLAZA COMERCIAL,Plaza Socorro Herrera,Mesones,186,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,778
779,CENTRO Y PLAZA COMERCIAL,Plaza Revolución,Correo Mayor,36,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,779
780,CENTRO Y PLAZA COMERCIAL,PLAZA TLATELOLCO,AV. RICARDO FLORES MAGÓN,210,Desconocido,GUERRERO,6300,Desconocido,Cuauhtémoc,780
781,CENTRO Y PLAZA COMERCIAL,PLAZA ITURBIDE,DONCELES 52,Desconocido,Desconocido,CENTRO,6020,Desconocido,Cuauhtémoc,781
782,CENTRO Y PLAZA COMERCIAL,PLAZA DIAMANTE,5 DE FEBRERO,95,Desconocido,CENTRO,6080,Desconocido,Cuauhtémoc,782
783,CENTRO Y PLAZA COMERCIAL,PLAZA,EJE CENTRAL LAZARO CARDENAS,Desconocido,Desconocido,CENTRO,6000,Desconocido,Cuauhtémoc,783
784,CENTRO Y PLAZA COMERCIAL,PLAZA TERESA,EJE CENTRAL LAZARO CARDENAS,109,Desconocido,CENTRO,6000,Desconocido,Cuauhtémoc,784
785,CENTRO Y PLAZA COMERCIAL,CENTRAL 87,EJE CENTRAL LAZARO CARDENAS,87,Desconocido,CENTRO,6000,Desconocido,Cuauhtémoc,785
786,CENTRO Y PLAZA COMERCIAL,CCENTRO JOYERO MADERO,AV. FRANCISCO I MADERO,54,Desconocido,CENTRO,6000,Desconocido,Cuauhtémoc,786
787,CENTRO Y PLAZA COMERCIAL,PLAZA ARMI,Manuel de la Peña y Peña,44,Desconocido,Centro,6010,Desconocido,Cuauhtémoc,787
788,CENTRO Y PLAZA COMERCIAL,Plaza del sol fashion center,Manuel Doblado,40,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,788
789,CENTRO Y PLAZA COMERCIAL,Plaza Tepito,Fray Bartolomé de Las Casas,32B,Desconocido,Morelos,6200,Desconocido,Cuauhtémoc,789
790,CENTRO Y PLAZA COMERCIAL,Plzaca Plancarte,Donceles,74,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,790
791,CENTRO Y PLAZA COMERCIAL,Plaza Peña y Peña,Manuel de la Peña y Peña,14,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,791
792,CENTRO Y PLAZA COMERCIAL,Plaza de los Chinos,Florida,5,Desconocido,Centro,Desconocido,Desconocido,Cuauhtémoc,792
793,CENTRO Y PLAZA COMERCIAL,Plaza Mixcalco,Cjon. Mixcalco,46,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,793
794,CENTRO Y PLAZA COMERCIAL,Plaza Lombardia,República de Brasil,24,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,794
795,CENTRO Y PLAZA COMERCIAL,Plaza Guatemala,República de Guatemala,74,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,795
796,CENTRO Y PLAZA COMERCIAL,El 73 de Guatemala,República de Guatemala,73,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,796
797,CENTRO Y PLAZA COMERCIAL,Plaza Roldan,Calle de Roldan,13,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,797
798,CENTRO Y PLAZA COMERCIAL,Plaza de el Ánel de Talavera,Talavera,13,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,798
799,CENTRO Y PLAZA COMERCIAL,Plaza del vestido,20 de Noviembre,141,Desconocido,Centro,6090,Desconocido,Cuauhtémoc,799
800,CENTRO Y PLAZA COMERCIAL,Plaza Mayoreo,Apartado,12,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,800
801,CENTRO Y PLAZA COMERCIAL,Centro de Mayoreo,Apartado,14,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,801
802,CENTRO Y PLAZA COMERCIAL,Apartado 24,Apartado,24,Desconocido,Centro,6020,Desconocido,Cuauhtémoc,802
803,CENTRO Y PLAZA COMERCIAL,Plaza de las Artesanías,República de Argentina,35,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,803
804,CENTRO Y PLAZA COMERCIAL,Plaza D Jesus,República de Argentina,41,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,804
805,CENTRO Y PLAZA COMERCIAL,Plaza Mia,República de Venezuela,118,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,805
806,CENTRO Y PLAZA COMERCIAL,Plaza la Adunción,Leona Vicario,46,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,806
807,CENTRO Y PLAZA COMERCIAL,Plaza de las Estrellas,Leona Vicario,S/N,casi esquina con república de Venezuela,Centro,6000,Desconocido,Cuauhtémoc,807
808,CENTRO Y PLAZA COMERCIAL,Pasaje Comercial Moneda,Moneda,19,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,808
809,CENTRO Y PLAZA COMERCIAL,Plaza comercial MG,Correo Mayor,20,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,809
810,CENTRO Y PLAZA COMERCIAL,Plaza Charly,Aztecas,S/N,Entre Nicaragua y Peña y Peña,Centro,6000,Desconocido,Cuauhtémoc,810
811,CENTRO Y PLAZA COMERCIAL,Plaza Centro Histórico,República de Brasil,8,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,811
812,CENTRO Y PLAZA COMERCIAL,Plaza Bialos,Donceles,87,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,812
813,CENTRO Y PLAZA COMERCIAL,Pasaje Capital,José María Pino Suárez,59,Desconocido,Centro,6090,Desconocido,Cuauhtémoc,813
814,CENTRO Y PLAZA COMERCIAL,Plaza Suprema,José María Pino Suárez,64,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,814
815,CENTRO Y PLAZA COMERCIAL,Parque Centro,José María Pino Suárez,60,Desconocido,Centro,6090,Desconocido,Cuauhtémoc,815
816,CENTRO Y PLAZA COMERCIAL,Plaza Brasil,República de Brasil,19,Desconocido,Centro,6010,Desconocido,Cuauhtémoc,816
817,CENTRO Y PLAZA COMERCIAL,León de Juda,La Academia,41,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,817
818,CENTRO Y PLAZA COMERCIAL,Pabellón Pino Suárez,José María Izazaga,118,Desconocido,Centro,6090,Desconocido,Cuauhtémoc,818
819,CENTRO Y PLAZA COMERCIAL,Centro Comercial Colombia 22,República de Colombia,22,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,819
820,CENTRO Y PLAZA COMERCIAL,Centro Comercial La Guadalupana,República de Colombia,21,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,820
821,CENTRO Y PLAZA COMERCIAL,Plaza la Paja,República de El Salvador,125,Desconocido,Centro,6010,Desconocido,Cuauhtémoc,821
822,CENTRO Y PLAZA COMERCIAL,Plaza Irlanda,República de Argentina,100,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,822
823,CENTRO Y PLAZA COMERCIAL,Plaza de la Piel,República de Argentina,104,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,823
824,CENTRO Y PLAZA COMERCIAL,Gran Plaza Donceles,Donceles,75,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,824
825,CENTRO Y PLAZA COMERCIAL,Edificio Plancarte y La Bastida,Donceles,Desconocido,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,825
826,CENTRO Y PLAZA COMERCIAL,Correo mayor 109,Correo Mayor,109,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,826
827,CENTRO Y PLAZA COMERCIAL,CENTRO JOYERO PALMA 5,Palma,5,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,827
829,CENTRO Y PLAZA COMERCIAL,Plaza del Peluche,República de Bolivia,64,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,829
830,CENTRO Y PLAZA COMERCIAL,Plaza de los lentes Tacuba,Motolinia,5,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,830
831,CENTRO Y PLAZA COMERCIAL,Plaza de la Tecnología,Eje Central Lázaro Cárdenas,54,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,831
832,CENTRO Y PLAZA COMERCIAL,Plaza Verde,Rodríguez Puebla,32,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,832
833,CENTRO Y PLAZA COMERCIAL,Centro Joyero PALMA 30,Palma,30,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,833
834,CENTRO Y PLAZA COMERCIAL,Pasaje Alameda,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido,Cuauhtémoc,834
835,CENTRO Y PLAZA COMERCIAL,Pabellón Capital,Mesones,32,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,835
836,CENTRO Y PLAZA COMERCIAL,Plaza Meave,Eje Central,S/N,Entre Meave y Vizcaínas,Centro,6000,Desconocido,Cuauhtémoc,836
837,CENTRO Y PLAZA COMERCIAL,Pasaje Borda,Bolívar,24,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,837
838,CENTRO Y PLAZA COMERCIAL,Madero 47,Francisco I. Madero,47,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,838
839,CENTRO Y PLAZA COMERCIAL,Juárez 32,Juárez,32,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,839
840,CENTRO Y PLAZA COMERCIAL,Izazaga 117,Izazaga,117,Desconocido,Centro,6000,Desconocido,Cuauhtémoc,840
